TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
8,2025-05-04,9256,FAILED,KOT4,Komatla,Vizag,CREDIT CARD,Insufficient Funds
19,2025-05-04,1762,FAILED,KOR4,Kakinada,Vizag,CREDIT CARD,Network Timeout
20,2025-05-04,9066,FAILED,KOR6,Kakinada,Vizag,CREDIT CARD,Invalid Account Number
23,2025-05-02,3634,FAILED,MG 7,Malkaagiri,Vizag,CREDIT CARD,Invalid Account Number
24,2025-05-03,2019,FAILED,ADY8,Alwal,Hyderabad,CREDIT CARD,Insufficient Funds
27,2025-05-04,4789,FAILED,KOT5,Komatla,Vizag,CREDIT CARD,Account Blocked
38,2025-05-06,6795,FAILED,VIM1,VijayPur,Gujarat,CREDIT CARD,Exceeded Limit
41,2025-05-06,9586,FAILED,VIM6,VijayPur,Gujarat,CREDIT CARD,Technical Error
43,2025-05-05,8546,FAILED,T N2,Tadipatri,Hyderabad,CREDIT CARD,Insufficient Funds
48,2025-05-03,2607,FAILED,VIM1,VijayPur,Gujarat,CREDIT CARD,Exceeded Limit
51,2025-05-05,3766,FAILED,VIM2,Bharat Nagar,Gujarat,CREDIT CARD,Account Blocked
54,2025-05-01,4497,FAILED,VIM4,Bharat Nagar,Gujarat,CREDIT CARD,Invalid Account Number
56,2025-05-05,887,FAILED,VIM2,Bharat Nagar,Gujarat,CREDIT CARD,Insufficient Funds
59,2025-05-01,4230,FAILED,TAM2,Tanuku,Hyderabad,CREDIT CARD,Account Blocked
60,2025-05-03,1061,FAILED,VIM3,Bharat Nagar,Gujarat,CREDIT CARD,Account Blocked
61,2025-05-05,6690,FAILED,HAD4,HimayatNagar,Gujarat,CREDIT CARD,Exceeded Limit
62,2025-05-03,6549,FAILED,TAM4,Tanuku,Hyderabad,CREDIT CARD,Technical Error
64,2025-05-07,9321,FAILED,T N3,Tadipatri,Hyderabad,CREDIT CARD,Account Blocked
66,2025-05-01,8631,FAILED,VIM3,VijayPur,Gujarat,CREDIT CARD,Network Timeout
69,2025-05-02,7924,FAILED,KOT4,Kormangala,Gujarat,CREDIT CARD,Insufficient Funds
71,2025-05-01,9705,FAILED,ANN4,Annavaram,Hyderabad,CREDIT CARD,Network Timeout
72,2025-05-01,8631,FAILED,VIM3,Bharat Nagar,Gujarat,CREDIT CARD,Network Timeout
73,2025-05-06,9586,FAILED,VIM6,Bharat Nagar,Gujarat,CREDIT CARD,Technical Error
75,2025-05-03,2607,FAILED,VIM1,Bharat Nagar,Gujarat,CREDIT CARD,Exceeded Limit
80,2025-05-05,887,FAILED,VIM2,VijayPur,Gujarat,CREDIT CARD,Insufficient Funds
81,2025-05-02,474,FAILED,VIM7,VijayPur,Gujarat,CREDIT CARD,Invalid Account Number
82,2025-05-01,4497,FAILED,VIM4,VijayPur,Gujarat,CREDIT CARD,Invalid Account Number
85,2025-05-07,5817,FAILED,VIM5,Bharat Nagar,Gujarat,CREDIT CARD,Insufficient Funds
89,2025-05-04,9256,FAILED,KOT4,Kormangala,Gujarat,CREDIT CARD,Insufficient Funds
90,2025-05-05,7148,FAILED,VEL9,Vilaspur,Hyderabad,CREDIT CARD,Account Blocked
91,2025-05-01,7535,FAILED,VIM7,VijayPur,Gujarat,CREDIT CARD,Invalid Account Number
